dataset_id,dataset_name,has_log,condition,strain_id,tf_identity,timepoints,classification,is_tf_localisation,tf_localisation_reason,reason,channels,all_channels,provenance,raw_llm_response
589,pH_med_to_low_00,True,normal pH (4.21) media to low pH (3.40),247;1510;1511;1512;1513,UNKNOWN,180,YES,NO,"This experiment tracks cytoplasmic pH using the pHluorin sensor (with brightfield/cy5 channels), not the nuclear-cytoplasmic localisation of a transcription factor.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: ph_med_to_low.log;ph_med_to_low_original.log.,pHluorin405;pHluorin488;GFPFast;cy5,brightfield1;Brightfield;pHluorin405_0_4;pHluorin405;pHluorin488_0_4;GFPFast;cy5,"condition=switch-phrase | strain=yst-refs,position-names | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment tracks cytoplasmic pH using the pHluorin sensor (with brightfield/cy5 channels), not the nuclear-cytoplasmic localisation of a transcription factor."
592,Nha1_04,True,SC + glc to SC + glc + 0.4M KCl,1149,UNKNOWN,180,YES,NO,This experiment is described as imaging Nha1 expression and does not indicate tracking a transcription factor’s nuclear-versus-cytoplasmic localisation.,Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: nha1_original.log;nha1.log.,GFP;GFPFast;cy5,brightfield1;Brightfield;GFP;GFPFast;cy5,"condition=llm | strain=yst-refs,position-names | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
SC + glc to SC + glc + 0.4M KCl

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment is described as imaging Nha1 expression and does not indicate tracking a transcription factor’s nuclear-versus-cytoplasmic localisation."
489,Pdr5_fluc_00,True,2% glucose in SC to 2% glucose in SC + 100ug/ml fluconazole,1490;YST_1490;group 1: YST_1490,UNKNOWN,180,YES,NO,"This experiment tracks Pdr5 expression under fluconazole treatment, and Pdr5 is a drug-efflux membrane transporter rather than a transcription factor or nuclear-localisation reporter.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: pdr5_fluclog.txt.,GFP;cy5,GFP;Brightfield;cy5,"condition=llm | strain=yst-refs,details,position-names,strain-field-labels,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
2% glucose in SC to 2% glucose in SC + 100ug/ml fluconazole

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment tracks Pdr5 expression under fluconazole treatment, and Pdr5 is a drug-efflux membrane transporter rather than a transcription factor or nuclear-localisation reporter."
490,flavin_htb2_pyruvate_20gpL_03_06,True,,365;1522;YST365 (FY4);YST1522 (htb2::mCherry);group 1: htb2mCherry;group 2: fy4,UNKNOWN,360,YES,NO,"This experiment tracks flavin autofluorescence and Htb2-mCherry, where Htb2 is a histone nuclear marker rather than a transcription factor.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: flavin_htb2_pyruvate_20gpl_03log.txt.,Flavin;mCherry2,Brightfield;Flavin;mCherry2,"condition=none | strain=yst-refs,details,strain-field-labels,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment tracks flavin autofluorescence and Htb2-mCherry, where Htb2 is a histone nuclear marker rather than a transcription factor."
491,flavin_by4741_by4742_tsa1tsa2morgan_02_00,True,,229;1579;1580;YST229 (BY4741);YST1579 (BY4742);YST1580 (tsa1 tsa1 Bruce Morgan);group 1: tsa1tsa2morgan;group 2: by4742;group 3: by4741,UNKNOWN,240,YES,NO,"This experiment uses Brightfield and Flavin autofluorescence channels to measure metabolic oscillations in BY and tsa1 tsa2 deletion strains, with no fluorescently tagged transcription factor being tracked.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: flavin_by4741_by4742_tsa1tsa2morgan_02log.txt.,Flavin,Brightfield;Flavin,"condition=none | strain=yst-refs,details,strain-field-labels,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment uses Brightfield and Flavin autofluorescence channels to measure metabolic oscillations in BY and tsa1 tsa2 deletion strains, with no fluorescently tagged transcription factor being tracked."
593,KCl_pH_02,True,SC (-Leu) to SC (-Leu) + 0.2M KCl,1510;1511;1512;1513;247;As position names;group 1: YST_247;group 2: YST_1510;group 3: YST_1511;group 4: YST_1512;group 5: YST_1513,UNKNOWN,240,YES,NO,"This experiment measures pH using the pHluorin sensor under KCl treatment, not the nuclear/cytoplasmic localisation of a transcription factor.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: kcl_phlog.txt.,GFPFast;cy5;pHluorin405,Brightfield;GFPFast;cy5;pHluorin405,"condition=llm | strain=yst-refs,position-names,strain-field-labels,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
SC (-Leu) to SC (-Leu) + 0.2M KCl

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment measures pH using the pHluorin sensor under KCl treatment, not the nuclear/cytoplasmic localisation of a transcription factor."
531,pH_med_to_low_00,True,normal pH (4.21) media to low pH (3.40),247;1510;1511;1512;1513,UNKNOWN,180,YES,NO,"This experiment measures cytoplasmic pH using the pHluorin sensor with brightfield/cy5 channels, not the nuclear-cytoplasmic localisation of a transcription factor.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: ph_med_to_low.log;ph_med_to_low_original.log.,pHluorin405;pHluorin488;GFPFast;cy5,brightfield1;Brightfield;pHluorin405_0_4;pHluorin405;pHluorin488_0_4;GFPFast;cy5,"condition=switch-phrase | strain=yst-refs,position-names | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment measures cytoplasmic pH using the pHluorin sensor with brightfield/cy5 channels, not the nuclear-cytoplasmic localisation of a transcription factor."
532,BABY_raffinose_01,True,,605;625;group 1: YST_605;group 2: YST_625,UNKNOWN,180,YES,NO,"The log only shows Brightfield, GFP, and mCherry2 channels with a strain/aim left blank and does not identify any transcription factor being tracked for nuclear-cytoplasmic localisation.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: baby_raffinoselog.txt.,GFP;mCherry2,Brightfield;GFP;mCherry2,"condition=none | strain=position-names,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: The log only shows Brightfield, GFP, and mCherry2 channels with a strain/aim left blank and does not identify any transcription factor being tracked for nuclear-cytoplasmic localisation."
607,KCl_pH_00,True,SC (-Leu) to SC (-Leu) + 0.2M KCl,1510;1511;1512;1513;247;As position names;group 1: YST_247;group 2: YST_1510;group 3: YST_1511;group 4: YST_1512;group 5: YST_1513,UNKNOWN,240,YES,NO,"This experiment measures intracellular pH using the pHluorin sensor under KCl treatment, not the nuclear/cytoplasmic localisation of a transcription factor.",Fluorescence channel(s) found in parsed acquisition metadata.,GFPFast;pHluorin405;cy5,GFPFast;pHluorin405;Brightfield;cy5,"condition=llm | strain=yst-refs,position-names,strain-field-labels,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
SC (-Leu) to SC (-Leu) + 0.2M KCl

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment measures intracellular pH using the pHluorin sensor under KCl treatment, not the nuclear/cytoplasmic localisation of a transcription factor."
608,KCl_pH_01,True,SC (-Leu) to SC (-Leu) + 0.2M KCl,1510;1511;1512;1513;247;As position names;group 1: YST_247;group 2: YST_1510;group 3: YST_1511;group 4: YST_1512;group 5: YST_1513,UNKNOWN,240,YES,NO,"This experiment measures pH using the pHluorin sensor under KCl treatment, not the nuclear-cytoplasmic localisation of a transcription factor.",Fluorescence channel(s) found in parsed acquisition metadata.,GFPFast;cy5;pHluorin405,Brightfield;GFPFast;cy5;pHluorin405,"condition=llm | strain=yst-refs,position-names,strain-field-labels,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
SC (-Leu) to SC (-Leu) + 0.2M KCl

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment measures pH using the pHluorin sensor under KCl treatment, not the nuclear-cytoplasmic localisation of a transcription factor."
609,KCl_pH_02,True,SC (-Leu) to SC (-Leu) + 0.2M KCl,1510;1511;1512;1513;247;As position names;group 1: YST_247;group 2: YST_1510;group 3: YST_1511;group 4: YST_1512;group 5: YST_1513,UNKNOWN,240,YES,NO,"This experiment tracks pH using the pHluorin sensor under KCl treatment, not the nuclear-cytoplasmic localisation of a transcription factor.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: kcl_phlog.txt.,GFPFast;cy5;pHluorin405,Brightfield;GFPFast;cy5;pHluorin405,"condition=llm | strain=yst-refs,position-names,strain-field-labels,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
SC (-Leu) to SC (-Leu) + 0.2M KCl

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment tracks pH using the pHluorin sensor under KCl treatment, not the nuclear-cytoplasmic localisation of a transcription factor."
610,2022sgo_bub1GFP_00,False,,,UNKNOWN,,NO,NO,"Bub1-GFP tracks the spindle assembly checkpoint/kinetochore-associated protein Bub1, which is not a transcription factor or nuclear-localisation reporter.",No log or acquisition metadata was attached.,UNKNOWN,,condition=none | strain=none | tf=none | fluorescence=no-metadata | tf_localisation=llm,"[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: Bub1-GFP tracks the spindle assembly checkpoint/kinetochore-associated protein Bub1, which is not a transcription factor or nuclear-localisation reporter."
611,2022sgo_bub1GFP_01,False,,,UNKNOWN,,NO,NO,"Bub1-GFP tracks the spindle checkpoint/kinetochore-associated protein Bub1, which is not a transcription factor or nuclear-localisation reporter.",No log or acquisition metadata was attached.,UNKNOWN,,condition=none | strain=none | tf=none | fluorescence=no-metadata | tf_localisation=llm,"[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: Bub1-GFP tracks the spindle checkpoint/kinetochore-associated protein Bub1, which is not a transcription factor or nuclear-localisation reporter."
2495,RPL3_GFP_1145_Experiment_18_11_00,True,2% glucose to 0.01% glucose,,UNKNOWN,180,YES,NO,"This experiment tracks Rpl3-GFP, a ribosomal protein tag used to monitor ribosome-related localisation under different glucose conditions, not a transcription factor’s nuclear-cytoplasmic localisation.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: rpl3_gfp_1145_experiment_18_11.log.,GFP_Z;GFP,Brightfield;GFP_Z;GFP,condition=llm | strain=none | tf=none | fluorescence=parsed-channels | tf_localisation=llm,"[condition]
2% glucose to 0.01% glucose

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment tracks Rpl3-GFP, a ribosomal protein tag used to monitor ribosome-related localisation under different glucose conditions, not a transcription factor’s nuclear-cytoplasmic localisation."
2496,GAL2__MAN_GAL_GLU_00,True,,,UNKNOWN,180,YES,NO,"This experiment tracks GAL2 localisation in different sugars, and Gal2 is a galactose transporter/membrane protein rather than a transcription factor or nuclear-localisation reporter.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: gal2__man_gal_glu.log.,GFP_Z;GFP,Brightfield;GFP_Z;GFP,condition=none | strain=none | tf=none | fluorescence=parsed-channels | tf_localisation=llm,"[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment tracks GAL2 localisation in different sugars, and Gal2 is a galactose transporter/membrane protein rather than a transcription factor or nuclear-localisation reporter."
2497,glabrata_IC20_CCW_03,True,,,UNKNOWN,144,NO,NO,This dataset is for a segmentation model and acquires only Brightfield images with no fluorescently tagged transcription factor or nuclear-localisation reporter.,"The acquisition settings list only the Brightfield channel, which is transmitted light and not fluorescence. Metadata truncated: glabrata_ic20_ccw.log.",UNKNOWN,Brightfield,condition=none | strain=none | tf=none | fluorescence=llm | tf_localisation=llm,"[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[fluorescence]
FLUORESCENCE: NO
REASON: The acquisition settings list only the Brightfield channel, which is transmitted light and not fluorescence.
CHANNELS: UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This dataset is for a segmentation model and acquires only Brightfield images with no fluorescently tagged transcription factor or nuclear-localisation reporter."
313,flavin_htb2_pyruvate_20gpL_04,False,,,UNKNOWN,,NO,NO,"This dataset tracks flavin autofluorescence with Htb2 as a histone nuclear marker, not a transcription factor undergoing nuclear-cytoplasmic localisation.",No log or acquisition metadata was attached.,UNKNOWN,,condition=none | strain=none | tf=none | fluorescence=no-metadata | tf_localisation=llm,"[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This dataset tracks flavin autofluorescence with Htb2 as a histone nuclear marker, not a transcription factor undergoing nuclear-cytoplasmic localisation."
613,flavin_fy4_htb2_k_deficient_01_01,True,,365;1522;YST365 (FY4);YST1522 (FY4 htb2::mCherry);group 1: fy4;group 2: htb2mCherry,UNKNOWN,264,YES,NO,"This experiment tracks flavin autofluorescence and Htb2-mCherry, where Htb2 is a histone nuclear marker rather than a transcription factor.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: flavin_fy4_htb2_k_deficient_01log.txt.,Flavin;mCherry2,Brightfield;Flavin;mCherry2,"condition=none | strain=yst-refs,details,strain-field-labels,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment tracks flavin autofluorescence and Htb2-mCherry, where Htb2 is a histone nuclear marker rather than a transcription factor."
681,flavin_htb2_pyruvate_20gpL_01_03,True,,365;1522;YST365 (FY4);YST1522 (HTB2-mCherry);group 1: fy4;group 2: htb2mCherry,UNKNOWN,360,YES,NO,"This experiment tracks flavin autofluorescence and HTB2-mCherry, where HTB2 is a histone nuclear marker rather than a transcription factor localisation reporter.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: flavin_htb2_pyruvate_20gpl_01log.txt.,Flavin;mCherry,Brightfield;Flavin;mCherry,"condition=none | strain=yst-refs,details,strain-field-labels,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment tracks flavin autofluorescence and HTB2-mCherry, where HTB2 is a histone nuclear marker rather than a transcription factor localisation reporter."
612,sgo_bub1GFP_01,True,SC+2% glucose to SC+2% glucose + 2.5ug/ml nocodazole,Given to me by Kevin Hardwick only labelled K1-5;group 1: K1;group 2: K2;group 3: K4;group 4: K3;group 5: K5,UNKNOWN,500,YES,NO,"This experiment tracks Bub1-GFP for kinetochore behaviour in an sgo1 mutant under nocodazole, and Bub1 is not a transcription factor localisation reporter.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: sgo_bub1gfplog.txt.,GFP;cy5,Brightfield;GFP;cy5,"condition=llm | strain=strain-field-labels,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
SC+2% glucose to SC+2% glucose + 2.5ug/ml nocodazole

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment tracks Bub1-GFP for kinetochore behaviour in an sgo1 mutant under nocodazole, and Bub1 is not a transcription factor localisation reporter."
669,proteinAggregates_starvation_2_0_twice_ura7ha_ura7hr_ura8_ura8ha_ura8hr_00,False,,,UNKNOWN,,NO,NO,"This is a protein aggregation/starvation dataset tracking Ura7/Ura8 variants, which are metabolic enzymes rather than transcription factors undergoing nuclear-cytoplasmic localisation.",No log or acquisition metadata was attached.,UNKNOWN,,condition=none | strain=none | tf=none | fluorescence=no-metadata | tf_localisation=llm,"[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This is a protein aggregation/starvation dataset tracking Ura7/Ura8 variants, which are metabolic enzymes rather than transcription factors undergoing nuclear-cytoplasmic localisation."
